Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Keeping the dream alive: The role of expectancy in pay-for-performance programs,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103446360&doi=10.5465%2fAMBPP.2019.124&partnerID=40&md5=bfe7070f102bff174f59c122d1aa57b2,[No abstract available],,
From purchase to recruitment? Exploring how the need to buy consulting services is constructed in the pre-purchase phase,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103453638&doi=10.5465%2fAMBPP.2019.16&partnerID=40&md5=60f9160617384f22cdd17791d0315641,[No abstract available],,
The role of authenticity at work in understanding the effects of LGBT+ friendly HRM practices,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103457038&doi=10.5465%2fAMBPP.2019.154&partnerID=40&md5=065bb83781a6c02ce937691ba193d279,"Using a sample of LGBT+ employees, we predict, and show, that LGBT+ employee's experience of two dimensions of authenticity at work (authentic living and self-alienation) mediates the relationship between perceived LGBT+ friendly HRM practices and extra role behavior, positive wellbeing, and general satisfaction. © The Author(s), 2019.",,Personnel; HRM practices; Two-dimension; Wellbeing; Authentication
Strategic reorientation in times of crisis: Operationalizing ambidexterity in dual-use technology organizations,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103455137&doi=10.5465%2fAMBPP.2019.223&partnerID=40&md5=83d2e2e72d02e613e3f3c7a1f1d6a2ee,[No abstract available],,
Civic engagement in the creation of entrepreneurship,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103445829&doi=10.5465%2fAMBPP.2019.103&partnerID=40&md5=828ad95e788d54747a5816da26c12f23,[No abstract available],,
Uncertainty and rhetoric: Letting the numbers speak for themselves,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103452263&doi=10.5465%2fAMBPP.2019.129&partnerID=40&md5=ee2adcee45af9cc8981bd30d721f4599,[No abstract available],,
Born in the us raised in Denmark: Exploring the cocreation of a management concept,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103452385&doi=10.5465%2fAMBPP.2019.233&partnerID=40&md5=f289b4d61ae408bdf3fbb77ee0ef32e3,[No abstract available],,
Scalability of follower bases on social media platforms for humanitarian operations,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103444979&doi=10.5465%2fAMBPP.2019.120&partnerID=40&md5=a779ffde51e26dd45a345ef9dd159049,[No abstract available],,
"Technological discontinuities and dominant designs in the automotive industry: The case of ford, 1896-1914",2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103438336&doi=10.5465%2fAMBPP.2019.257&partnerID=40&md5=f277cb34f5b8025f8b2bf2579b493178,[No abstract available],,
What's in a model? Computer simulations and the management of ignorance,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103439548&doi=10.5465%2fAMBPP.2019.250&partnerID=40&md5=84e43bcc74b6257c53952311bf7aec57,[No abstract available],,
An accountability account? Examining the diverse outcomes of perceived personal and team accountability,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103453489&doi=10.5465%2fAMBPP.2019.222&partnerID=40&md5=7742deec053b9bc7ca156c5d09dc5d88,[No abstract available],,
Sustainability reporting and management control - A systematic literature review,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103448493&doi=10.5465%2fAMBPP.2019.248&partnerID=40&md5=130ee27c6d0f8e1efd46dab4298c44ef,[No abstract available],,
"Radical, disruptive, discontinuous and breakthrough innovation: More or the same?",2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103423875&doi=10.5465%2fAMBPP.2019.272&partnerID=40&md5=4462a8213749a0c53c586fc1bbedd315,[No abstract available],,
Horizontal open innovation: Opportunities from “operational” inputs,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103458775&doi=10.5465%2fAMBPP.2019.104&partnerID=40&md5=b28c104664bc10c2290b70455a1de9c1,"When can firms co-develop IP with rivals? We term this horizontal open innovation and argue that rivals can co-develop operational inputs, which do not affect the cost or quality of a firm's products. Industry infrastructure is a class of operational input where horizontal open innovation can profoundly impact a market. © 2019 AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management. All rights reserved.",,Industry infrastructure; Open innovation
Too tight to move? How cultural norms and stereotypes regulate imprinting in hybrid social venturing,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103435577&doi=10.5465%2fAMBPP.2019.87&partnerID=40&md5=07f31e57ff9cbefd425d3407459e98ff,"Can culture regulate entrepreneurial imprinting in new ventures? By incorporating cultural tightness versus looseness arguments, we examine this research question in the context of social entrepreneurs who can organize as either nonprofits or hybrid social ventures. Analysis of 1579 social ventures from 21 countries demonstrates broad support for the hypotheses. © AOM 2019.All right reserved.",,Cultural norms; New ventures; Research questions; Social entrepreneurs
Making sense of positive organization development,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103438174&doi=10.5465%2fAMBPP.2019.132&partnerID=40&md5=e7d1ce2f8553b5046e95aa9a1274f287,[No abstract available],,
The impact of informal entrepreneurship on innovation,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103455302&doi=10.5465%2fAMBPP.2019.283&partnerID=40&md5=8e45d199799b21accca73b118ab5a096,[No abstract available],,
Adapt or die? The effects of venture identity experimentation on funding and survival,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103450494&doi=10.5465%2fAMBPP.2019.263&partnerID=40&md5=009a3299863e523e576c9210ae1f9668,[No abstract available],,
