Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
53;18658;"Production Planning and Control";journal;"09537287, 13665871";2,020;Q1;104;186;324;17600;3657;315;10,23;94,62;27,81;2;102;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990-2023";"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
54;18300156728;"IEEE Transactions on Services Computing";journal;"19391374";2,002;Q1;87;398;518;15144;3365;514;5,57;38,05;28,27;0;46;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2008-2023";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems and Management (Q1)";"Computer Science; Decision Sciences"
55;29170;"Critical Perspectives on Accounting";journal;"10452354, 10959955";1,941;Q1;85;90;145;8919;1110;131;7,93;99,10;45,60;1;40;United States;Northern America;"Academic Press";"1990-2023";"Accounting (Q1); Finance (Q1); Information Systems and Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
56;21100451321;"Scientific data";journal;"20524463";1,937;Q1;120;899;1482;45502;12101;136;5,91;50,61;34,69;19;315;United Kingdom;Western Europe;"Nature Publishing Group";"2014-2023";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
57;21101019393;"IEEE Transactions on Big Data";journal;"23327790";1,821;Q1;24;151;201;7433;1498;194;7,78;49,23;28,62;0;17;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015, 2018-2023";"Information Systems (Q1); Information Systems and Management (Q1)";"Computer Science; Decision Sciences"
58;21101101329;"International Journal of Cognitive Computing in Engineering";journal;"26663074";1,810;Q1;16;36;58;1641;642;57;12,39;45,58;31,31;0;12;China;Asiatic Region;"KeAi Communications Co.";"2020-2023";"Computer Science Applications (Q1); Engineering (miscellaneous) (Q1); Information Systems (Q1); Information Systems and Management (Q1)";"Computer Science; Decision Sciences; Engineering"
59;22902;"Oxford Bulletin of Economics and Statistics";journal;"03059049, 14680084";1,790;Q1;85;66;176;3381;596;176;2,37;51,23;21,95;6;23;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-2023";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
60;21100198229;"Statistics Surveys";journal;"19357516";1,757;Q1;26;6;13;839;151;13;13,70;139,83;31,58;0;0;United States;Northern America;"Institute of Mathematical Statistics";"2007-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
61;21101044833;"Decision Making: Applications in Management and Engineering";journal;"26200104, 25606018";1,716;Q1;37;72;76;3477;893;76;11,80;48,29;25,41;0;22;Serbia;Eastern Europe;"Regional Association for Security and crisis management";"2018-2023";"Decision Sciences (miscellaneous) (Q1)";"Decision Sciences"
62;21101033050;"Journal of Global Economic Analysis";journal;"23772999";1,716;Q1;15;7;24;185;69;24;2,08;26,43;8,33;0;4;United States;Northern America;"Purdue University, Department of Agricultural Economics";"2016-2023";"Applied Mathematics (Q1); Economics and Econometrics (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
